filename,location,wing,side,area,major,minor,circ.,feret,minferet,ar,efd_0,efd_1,efd_2,efd_3,efd_4,efd_5,efd_6,efd_7,efd_8,efd_9,efd_10,efd_11,efd_12,efd_13,efd_14,efd_15,efd_16,efd_17,efd_18,efd_19,efd_20,efd_21,efd_22,efd_23,efd_24,colour_0_r,colour_0_g,colour_0_b,colour_1_r,colour_1_g,colour_1_b,colour_2_r,colour_2_g,colour_2_b,colour_3_r,colour_3_g,colour_3_b,percentage_0,percentage_1,percentage_2,percentage_3,species
CAM047601_v.JPG,0,0,0,82.341,15.888,6.599,0.302,17.575,7.33,2.408,-0.491583822,-0.29060171,0.119931224,-0.051488692,0.06539897,-0.058221925,-0.096150614,0.000806127,-0.00330396,-0.121245383,-0.048838985,-0.012995698,0.036460181,-0.049765519,-0.094766253,-0.038321089,-0.013212325,-0.043395178,-0.008924598,-0.011309406,0.017225919,0.002012698,-0.010524535,0.023116721,-0.003744239,0.859139626,0.783523533,0.624821788,0.573817149,0.475911167,0.310722111,0.917830889,0.852122883,0.720245322,0.784525028,0.702654862,0.499711925,0.395167008,0.024691608,0.383489639,0.196651745,1
CAM047603_d.JPG,0,0,1,80.38,15.903,6.435,0.406,16.582,7.138,2.471,-0.50390697,-0.122670526,-0.179463266,-0.012345436,-0.005558089,0.023576296,-0.02410621,-0.017406778,-0.055606853,-0.053119981,-0.062732206,-0.029232812,0.024725882,-0.008297746,-0.018857769,-0.008461485,0.024627341,0.013275685,-0.027535969,-0.040885073,0.013850233,0.023722402,0.019385983,-0.006663178,-0.010203789,0.810150631,0.732997527,0.554417796,0.727480509,0.60370482,0.348423244,0.875235591,0.795022856,0.623812042,0.789255443,0.674525707,0.451661003,0.339467337,0.129869347,0.247427136,0.283236181,1
CAM047603_v.JPG,0,0,0,80.565,15.973,6.422,0.414,16.675,7.106,2.487,-0.501619421,-0.118327778,0.165411237,0.008507361,-0.008041674,0.032197796,0.029690697,0.021168022,-0.054883329,-0.047806591,0.067429698,0.031602073,0.022472584,0.002272543,0.017867037,0.011069436,0.01571685,0.008838583,0.023819368,0.038562699,0.010560656,0.021063301,-0.019305086,0.005718592,-0.012478656,0.854751009,0.783346494,0.607470621,0.662482247,0.575640637,0.381455342,0.778820032,0.692321133,0.494426513,0.927934277,0.859528457,0.723306226,0.374458809,0.117179852,0.2532421,0.255119239,1
CAM047606_d.JPG,0,0,1,61.224,15.013,5.192,0.268,16.265,7.419,2.891,-0.480542678,-0.175428782,-0.271669067,0.026117061,0.047362109,0.077333041,-0.056315901,-0.021384076,-0.035646502,0.053514366,-0.05322269,-0.067824505,0.082483366,0.042138144,0.052819188,-0.060310452,-0.022001302,0.001915479,0.018961863,-0.009847867,-0.016120495,-0.022392428,0.000881187,-0.001001628,0.007512048,0.917399062,0.834091344,0.664350071,0.867158489,0.759866823,0.567959803,0.717848635,0.603580143,0.375446795,0.813184374,0.690419386,0.473710911,0.201235831,0.379657326,0.107433354,0.311673489,1
CAM047606_v.JPG,0,0,0,60.636,15.083,5.119,0.306,16.199,6.747,2.947,-0.48216,-0.164641283,0.282671444,-0.018697527,0.0461166,0.070746516,0.050184089,0.014181859,-0.038007398,0.054312331,0.053697072,0.069611168,0.083304785,0.03877733,-0.050209437,0.057567927,-0.018483288,0.004668281,-0.020584771,0.012607558,-0.01493412,-0.027741187,-0.002317835,-0.000764622,0.00544662,0.938896297,0.860336036,0.718139786,0.890932277,0.789802447,0.614471428,0.678799508,0.590149597,0.382498336,0.806427052,0.709168995,0.506995309,0.301520505,0.394259399,0.070255535,0.233964561,1
CAM047607_d.JPG,0,0,1,85.478,15.988,6.807,0.385,17.411,7.59,2.349,-0.454603578,-0.175348853,0.003924565,0.068080733,-0.003877284,-0.001446795,0.046779388,0.00844159,0.022435465,-0.0564847,0.04012437,0.013229204,0.050837789,0.007296211,0.060282464,0.014503368,0.012030725,-0.009353242,0.035107617,0.017408029,0.002336999,0.008089597,0.029995603,0.011373411,-0.000583087,0.872323515,0.794098811,0.619120305,0.755323544,0.649914509,0.395089233,0.827929506,0.730207302,0.515279642,0.918355317,0.850652412,0.696431885,0.391505298,0.101261721,0.229473203,0.277759777,0.5
CAM047607_v.JPG,0,0,0,85.668,16.016,6.81,0.407,17.287,7.584,2.352,-0.458215096,-0.174193851,0.011739525,-0.062418301,-0.0052245,-0.004454897,-0.054224653,-0.013235195,0.019776423,-0.057900045,-0.036529728,-0.016153022,0.051414949,0.004873206,-0.06203715,-0.017707991,0.010788041,-0.009037882,-0.033795112,-0.019581115,0.000925605,0.007314923,-0.03253,-0.011861292,-0.00253404,0.817037422,0.747894907,0.565058552,0.94714704,0.879817336,0.752616466,0.700095714,0.617229993,0.40079031,0.879546901,0.822592547,0.666091501,0.201729079,0.330642576,0.049366166,0.418262179,0.5
CAM047610_d.JPG,0,0,1,75.731,14.969,6.441,0.396,15.968,7.297,2.324,-0.521557646,-0.14816949,-0.15548808,-0.001952008,-0.027700657,0.030265323,-0.007867729,-0.029877428,-0.024184649,-0.052358707,-0.021820009,-0.028717032,0.04143454,-0.022134035,0.036908096,-0.00223763,-0.00233181,-0.034294134,-0.004482997,0.01051723,0.02478667,-0.008275662,0.002043391,0.007322876,0.01430899,0.859765308,0.788125267,0.630030831,0.762287627,0.630387368,0.41438395,0.828636725,0.712648862,0.516513756,0.91480097,0.843253305,0.696648454,0.384121044,0.13816296,0.228229256,0.249486741,0.5
CAM047610_v.JPG,0,0,0,75.43,14.976,6.413,0.392,16,7.237,2.335,-0.530091939,-0.150889225,0.18294569,0.00722695,-0.02220474,0.038198863,0.003128362,0.032024903,-0.024575258,-0.055154567,0.016607664,0.031637518,0.039466504,-0.032956186,-0.037259856,-0.003288707,-0.002013166,-0.035292461,0.016382273,-0.008440365,0.030905131,0.00038155,0.001833346,-0.001907849,0.014264112,0.849194525,0.777435777,0.62326616,0.547962065,0.430684597,0.306181197,0.738562728,0.661594994,0.490729135,0.91781657,0.852571736,0.730959442,0.424120087,0.035765267,0.182662711,0.357451934,0.5
CAM047612_d.JPG,0,0,1,88.375,16.898,6.659,0.534,17.241,7.123,2.538,-0.460467135,-0.06265866,-0.035722944,0.040903944,-0.049808635,0.052975505,-0.008183148,-0.003666726,-0.052620767,-0.031063285,-0.018470368,-0.006072462,0.012816109,0.007217458,0.003531926,-0.014869953,-0.012934668,-0.011474364,-0.005282677,-0.002711257,0.00610237,0.004105932,0.006116382,0.003239165,-0.000127706,0.893472311,0.809417435,0.655890224,0.947481238,0.867593665,0.725429463,0.850455487,0.751082928,0.570683638,0.760596122,0.690652669,0.439352798,0.405132973,0.229961981,0.284053355,0.080851691,1
