"Wing: (0, 0)",,,,,"Wing: (0, 1)",,,,"Wing: (1, 0)",,,,,"Wing: (1, 1)"
area_v: 0.6577212121212122,,,,,feret_v: 0.668969696969697,,,,colour_1_g_v: 0.6602138364779874,,,,,colour_1_g_v: 0.684679012345679
area_d: 0.6395393939393939,,,,,feret_d: 0.6583151515151514,,,,colour_1_r_v: 0.6576981132075471,,,,,colour_1_r_v: 0.6659382716049383
minor_d: 0.6367272727272727,,,,,area_d: 0.6541575757575757,,,,feret_v: 0.6415597484276728,,,,,colour_1_b_v: 0.654641975308642
colour_0_g_v: 0.6365575757575757,,,,,area_v: 0.6513212121212122,,,,feret_d: 0.6276981132075471,,,,,major_v: 0.6476296296296297
minor_v: 0.636230303030303,,,,,colour_1_b_v: 0.6411393939393939,,,,colour_0_b_v: 0.6276352201257862,,,,,feret_v: 0.6321481481481481
feret_v: 0.6294787878787879,,,,,colour_1_g_v: 0.6409818181818182,,,,colour_1_g_d: 0.6276100628930817,,,,,major_d: 0.6316049382716049
minferet_v: 0.6233939393939394,,,,,colour_1_r_v: 0.6364242424242423,,,,colour_1_r_d: 0.6197232704402516,,,,,feret_d: 0.6209876543209878
feret_d: 0.6203878787878787,,,,,major_d: 0.6273090909090909,,,,major_v: 0.61925786163522,,,,,efd_0_d: 0.5828148148148148
colour_0_r_v: 0.6198666666666666,,,,,minor_d: 0.622630303030303,,,,colour_1_b_d: 0.6183522012578617,,,,,colour_0_b_v: 0.5826913580246913
major_d: 0.6179515151515151,,,,,major_v: 0.6221454545454546,,,,colour_1_b_v: 0.6088427672955975,,,,,area_v: 0.578530864197531
colour_0_b_v: 0.615890909090909,,,,,minferet_d: 0.6098424242424242,,,,colour_0_g_v: 0.5865534591194967,,,,,area_d: 0.5741111111111111
major_v: 0.6068242424242425,,,,,minferet_v: 0.6007515151515151,,,,minor_v: 0.580125786163522,,,,,ar_v: 0.5711111111111111
colour_1_b_v: 0.5995515151515151,,,,,colour_0_g_d: 0.5863636363636363,,,,area_v: 0.5791823899371068,,,,,ar_d: 0.568246913580247
colour_1_g_v: 0.5991636363636363,,,,,efd_11_d: 0.5853090909090909,,,,major_d: 0.5782767295597484,,,,,efd_0_v: 0.5673456790123457
efd_7_d: 0.595830303030303,,,,,minor_v: 0.571709090909091,,,,minor_d: 0.5766415094339623,,,,,colour_0_g_v: 0.5670370370370371
minferet_d: 0.5926666666666668,,,,,colour_0_g_v: 0.5697090909090909,,,,area_d: 0.5754968553459119,,,,,colour_1_g_d: 0.564716049382716
colour_1_g_d: 0.5864242424242425,,,,,efd_14_d: 0.5696363636363636,,,,minferet_v: 0.570251572327044,,,,,efd_5_d: 0.5583333333333332
colour_1_r_d: 0.5807757575757575,,,,,percentage_1_d: 0.5688848484848484,,,,minferet_d: 0.567811320754717,,,,,efd_8_v: 0.5567283950617284
efd_19_d: 0.5725454545454545,,,,,percentage_0_d: 0.5686909090909091,,,,colour_0_r_v: 0.5617358490566039,,,,,efd_8_d: 0.5560493827160494
efd_1_v: 0.5724242424242425,,,,,efd_23_v: 0.5675636363636363,,,,efd_7_v: 0.5479496855345912,,,,,efd_1_v: 0.5515185185185186
efd_11_v: 0.570739393939394,,,,,efd_10_d: 0.5650787878787878,,,,efd_8_v: 0.5431823899371069,,,,,colour_1_r_d: 0.5478148148148148
colour_1_r_v: 0.5691151515151515,,,,,efd_11_v: 0.5637090909090909,,,,efd_12_v: 0.5371572327044025,,,,,efd_9_v: 0.5468271604938272
efd_24_d: 0.5684,,,,,efd_15_d: 0.5495878787878787,,,,efd_14_v: 0.5346540880503144,,,,,efd_14_v: 0.545679012345679
colour_1_b_d: 0.564969696969697,,,,,efd_15_v: 0.5478424242424241,,,,efd_19_d: 0.5338238993710692,,,,,efd_14_d: 0.5456666666666666
efd_19_v: 0.5632242424242424,,,,,efd_17_d: 0.547139393939394,,,,efd_10_v: 0.5313710691823899,,,,,colour_0_r_v: 0.542716049382716
efd_5_d: 0.5628606060606061,,,,,efd_17_v: 0.5433939393939394,,,,efd_2_v: 0.5298490566037736,,,,,efd_23_d: 0.5417530864197532
efd_24_v: 0.5624969696969697,,,,,colour_0_b_v: 0.5432727272727272,,,,efd_14_d: 0.5297987421383648,,,,,efd_19_d: 0.5404567901234568
efd_12_v: 0.5605696969696969,,,,,colour_1_r_d: 0.5410060606060606,,,,efd_8_d: 0.5270188679245283,,,,,colour_1_b_d: 0.5374814814814816
efd_16_d: 0.5601333333333334,,,,,colour_0_b_d: 0.5399636363636364,,,,efd_18_d: 0.5263144654088051,,,,,efd_22_v: 0.5368641975308642
efd_11_d: 0.559260606060606,,,,,colour_0_r_v: 0.5393818181818181,,,,efd_9_d: 0.5242641509433962,,,,,efd_13_d: 0.5349629629629631
efd_22_d: 0.5560484848484848,,,,,efd_5_d: 0.5390666666666666,,,,percentage_0_d: 0.5240125786163522,,,,,efd_16_d: 0.5348518518518518
efd_2_v: 0.5542545454545454,,,,,efd_23_d: 0.5356969696969698,,,,percentage_1_d: 0.5213836477987422,,,,,efd_3_d: 0.5340987654320989
efd_15_d: 0.5537818181818182,,,,,efd_6_d: 0.534690909090909,,,,efd_15_v: 0.5206540880503145,,,,,efd_20_d: 0.533888888888889
percentage_0_d: 0.551490909090909,,,,,efd_6_v: 0.5332121212121212,,,,efd_21_v: 0.5204150943396226,,,,,efd_13_v: 0.5335432098765431
percentage_1_d: 0.5508848484848486,,,,,colour_1_g_d: 0.532109090909091,,,,efd_7_d: 0.5201257861635221,,,,,efd_2_d: 0.5335308641975309
