CamID,Source.sheet,Year,Locality/Population,Lat,Lon,sex.by.median.norm.depth.chr1.highest.depth.sample,sex.depth.genital.consensous
CAM046017,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046018,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046019,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046020,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046021,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,male,male
CAM046022,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046023,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046024,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046025,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046026,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046027,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046028,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046029,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,NA,female
CAM046030,Batch1 - missing information,2016,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046031,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,male,male
CAM046032,Batch1 - missing information,2016,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046033,Batch1 - missing information,2016,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046034,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046035,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046036,Batch1 - missing information,2016,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046037,Batch1 - missing information,2016,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046038,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,female
CAM046039,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046040,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046041,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,NA,0
CAM046042,Batch1 - missing information,2016,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046043,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,male,male
CAM046044,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,male,male
CAM046045,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046046,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046047,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,female,female
CAM046048,Mastersheet,2016,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,male,male
